"wallet","balance"
"0x0DdAF2D9eF473a903d69975798233b923A1bc357","3505207642989.254114764576861453"
"0x129DdF9c3958D5ae6A5A61a40110bEB8D7ca8E7d","3310893500781.797560977629643738"
"0x80976aD2580f5bdE3AdF9d861DE4B8848Dc3818D","1508042052690.074354489768074091"
"0xbC928A3A4b60cCBBEddE799cC0DBfBb08BB74919","1426939718852.48650250305343326"
"0x20efF89e8971b8280a83CaAc68D3Decba96af6aE","1367994645365.284980335738080861"
"0xF26E97b83AE4A7dE4e23710B693584eA3d9212E7","1261641491158.752566472766984412"
"0x60edaCED9D7a45c793B1f280aC6D189aaCB66991","1187107468914.522587137271695775"
"0xc44a8C6521d2AbAAcC55cF022E6023F55773233F","1177972529091.839081478201436841"
"0xCD13748D5fA7A8b0Dd174C68bbb7A9D115B24B47","1130333729409.104361333618767166"
"0x4C13FE288d0e7AE658087F1DC50C15107421AD3F","1028174198581.33534985003432421"
"0x554C08a1Fec9C187CbabF5A0fc86135DaA879e21","1000000000000.0"
"0xf58b1774156D1C9C4256e835E3c9212e2Ee13404","994419564914.509753633362720825"
"0x1B8E0178598550343a3e457a8598bc3389E84C27","895000000000.0"
"0xe7Ef179c4d3555AbAc0203FE9CADB53845b56199","702728041615.899020921052686705"
"0xc2C74D156DC2f614416D70541A59100e3fbFC4fF","589657686941.242518116100499481"
"0x17Ab71424297Be381364e951Ba7a6D66EE78a2F4","564998400201.9875439587"
"0xbBEaA529264A43EA4CdeE9E5b68B6EB5f986CaAB","537723389132.451849031054673934"
"0x8f4C28D40Ee88a8Dcd747E7916bb350b4FbB648F","522807890860.400572930120699512"
"0xd4301FE8A28C8E68e1F5587845b1Ef09426FD059","514928504508.369977460666404906"
"0x8400336c59342dAEc4A96D9E5f8905b3a791Fae5","513688919072.679092673902542161"
"0xcEef0776aC9EaD829C56c82bda1CeE21c21E12D5","512340100966.607831678"
"0x7e002bAcA51e44F7E8980C783A8eB8d3E11c2dcd","511094889145.485748579"
"0x0187Ac74F8ECDecd0f645B40ea12d948Eb54F39F","508011455628.0"
"0xEAd24Ef751d7AA961fD29096ef4580042756f0Aa","500574805945.873026129313241033"
"0x784A80C4E5452BC47447B23f4961E17a6F989d38","500000000000.0"
"0xd51D49A1a67AB4ED75825D1F8a99b1c794e4A164","461865620420.664340091379896876"
"0x038BaF880Ab8087046C467bab5447DF99416bB08","439147687036.271723046600632642"
"0xffa936E8e5f4485786dBcdC2aD01824B43b6b5Ee","413928372896.057455180371239855"
"0x679ffe8D5c935Fd2204a7f1597Cc5E3653F06ed5","413647698049.740987304497030504"
"0x00faB2FF0A4509BF1d5a0B3D77E1a4ec6d3d574e","333000000000.0"
"0x4A9BD0aAA9242BFa44f661b32A2eD86AC04FB227","327382004596.0"
"0xc1204FFe239DF09d52393983a1eaFCE0FBAf8044","322466369116.505762304723146201"
"0x94b56D98042E39D7B9624eb28Ea6E2Fc98B1d94D","319251220533.644586417312408866"
"0xF49aD6D389b394EAa9190873EBede2E95F30BF2E","261453251629.1142224205093075"
"0x40d3aAf33366576A7Fc3987B047A4D2C8D77Ea4f","260196442008.318278967620127775"
"0xeA9c9404422E2e09b5e4872A6FEa1311Fef46c0D","257700416350.65584289562593051"
"0xd3f8519012982C29EFb53FE44CaAf66e3aF580d7","235384861959.540944658853560547"
"0xd36A54d80A2568423a5473E62F001f15DA8cFeD5","220281282765.442879178316185209"
"0x6cF69f5EF244422eDEAE5Da68301bc3C59507341","219059310101.746495726500674915"
"0xef1EdeA6A13f5A9eeFd1796F1635dBc19f2a49BE","214937488688.973646659940932933"
"0x0212c08aF084C93Dda1FBb374099cCAADf7C1919","207438508011.259186645039237232"
"0x442C5676E31Df8E0018C949b09141fD333980BcC","204490666870.279030632524993926"
"0xb69cE20dbb7Ac5CD6f29343D1b22501545C1a3b5","204209123463.648424344344883714"
"0x81E42fFBF014E97b7Da0eFb6e5Cea1c1f1f5FeC8","204152309859.749782640810069151"
"0x0C126B19Cc44bab71d50Ef8b752b2aBC548d3364","203055039882.58302791713627918"
"0x99d305594E27441cfADf235f5480872243629dFA","202231575190.389744914521881294"
"0x31d0e99CAd9F8C9088C2C749342C13b8CecC8829","201372117196.386986885673836841"
"0x576BF6b2FffC54748A3F673C10A79f9D853D6529","200864672365.795718710840864267"
"0x04412B403A4B6d2F00D8bF93F1e6a5BCdd80D560","184705481379.369220462622426814"
