HolderAddress,Balance
0x10aFB2b929E02d7DE0Fb0E7B76fa56340e358806,7E+8
0x3799df3644888C4B63d32557137ce9b21f3D0E19,695103490.227149122356109156
0xc666a8678cfb13B9ABF8bCA64504ba1Bc345f11a,676230327.229997804450885298
0xf0Fe785721E7C64985841F7748D89789d08B2516,675675675
0xf0dB619363881ceb6bA06b9AE3dd4886652Aa896,675675675
0xEa7b1f384117D07989c0fe0CA5DaA597776e6c81,675675675
0xcD59B5d986D2755bF91D47c4dBE0CA7Dd8ED3022,675675675
0xc7977404629D5eAd59622b368F6DD3B1B9E53B16,675675675
0xBc3808187A36385cAFa5467f633A1ea0f0Ff1650,675675675
0xaf8C95eD4eA5236217fe9920Ee4c22Ff4343D07B,675675675
0xA94D609db541E1E21FD1179a63Ac41A651584EDb,675675675
0xa69A668296279BE8F866441a895BbFE80042E5F4,675675675
0x8547955d386Ad65e202507d79B1e5eDA06A23299,675675675
0x7f9dD15aa816c098aa5a73358AA4549A96A75e84,675675675
0x4b444D98a5f64ED700D716B88be6bAD048822405,675675675
0x459B7caC07086806454E8b0e8D98F4C33BD3Ee9c,675675675
0x3C2967E1E93E9B02BF1AeDAC596349aE88DAc09d,675675675
0x329B247a1e1CE0BAecE45378cBaAF0FBff1D53A6,675675675
0x2b14D24C51f41D577E094B70711990b4DF8bE1A0,675675675
0x238f2C2Dcb197F1c15BE4B534f2760D2cB89D439,675675675
0x2156448F0C42EC2F29a8d937F3705aD700DC5932,675675675
0xd9d16e8A05fa950e2362319cD3efe94016CB13D5,614375571.143604461434483885
0x4e3f8Da23054391BBFf830d563D1043c472BdCe8,608109351.559329674645866019
0x88A3365508B83A95E4f360b343f4600D1150404D,605847517.265280476117913812
0x54e917896C2a7Bd38243De99C75Aecd702Bc1106,600000000.000000133614002269
0xe4cEfe340D66925Dc559245f3A2307400a915b1e,576389909.472283437908208446
0xf1008B39DDa2A574ED16fdDc21B598C9Fe71d9C7,561516533.52662390417649901
0x8e603cE9b9e6692e25A3E62f6C9D0f9eBf86303e,552977364.973667991535195789
0xaf95fEc1A47640099629F132732A10C258F54fA0,534488005.520014091847890505
0xA7Ab889299C17119A45Bb8BDDba851c694516aC6,521108639.332071283658262032
0xC48C83B4b6Ee992C2105438fD3681d9f098b19D3,515786996.71205475650998001
0xf993d83A8bfaae29a0875e13d5868D9eF342faB4,5E+8
0xe6F650e5c7dC46821Fc23fb50bEbE7527A0027b0,5E+8
0xe51a2e65d8b43b045De3d1DB9E64906d14c61B54,5E+8
0xE3f02F18d472eA78c2794c83e710eCf93D008997,5E+8
0xDA70703f92248B72c45a5D364a95baB7D7Ae4B39,5E+8
0xCBD15cFe5Ee1f8FF0B571B63B8EB1690A7b87F1B,5E+8
0xcAd6312Ebe858B0Ac808b0520A072f38764796a8,5E+8
0xc9329f80cccAd7D9B1d1dfF1b6c5a2292b4513d8,5E+8
0x97f370196fe65882B861e905BdA55D33a74e9CCF,5E+8
0x2F9057a49AA77A64C3FB7543A8672d4cB458Ba2a,5E+8
0x2E2901Bd628c930818773300f3c185d6BDCd1112,5E+8
0x1Ec950A58307add69266d45Cf2f34c838Ae7899e,5E+8
0x0e9592026D936e0a9cc56fc6105736Be5443029D,5E+8
0xdE144227a6cb269D47226F97Fa8ddb682D3dC54b,499373446.348171092423399751
0x9f3548946850e17655F76A031C7d602202D8F51a,493453169.239498023079827392
0x9a2D04F7a1AD9ac818b56bC4bda26C15a478dE4D,483277310.696469556533449958
0x5532A4b9B98bc29Ac0B136c745d291C4132a17b4,479421445.896414329235701963
0x0a1a8a13fd2c3094B8F563B4944Db4e18bFcF90C,4.5E+8
0x15Cee7Ac10A4208Ff96f340C237C4Cd531463CB9,448073908.812743777181426975
