HolderAddress,Balance
0x2Bf7145B9dA25567569C15C57758E6A13BBc00f2,2414055767.344565945935309183
0x658F32C5387bE127E4281590F49C2a924176fB87,2406714906.742140269315804813
0xbb0185a6805354b586fC975D67a761E0704215C1,2398869051.588668447291002601
0xb2f8e8bf06A3Da424f5C06e493af63e2EF10FC4c,2383842586.829366168509605882
0xd537C667d491949f0657102F56b077050AA7805f,2378336047.643770554222718447
0xbAab95812953A98e730a47385910caFF108087b1,2344743747.651922698072125812
0x852d20b822DF6BDBc321798687001a89A2e25f2f,2337837837
0xd44C23a7FeFA41f4A7dAb47c2676193720e67805,2317384723.812370193768640183
0xEe5B5c60EE61b9E1CC1b38CDBA7401b60Bf9aB8f,2306996259.477379747475060991
0x16Cf087Bf33bD2a1166dE1CDFcaC9b5341D19027,2283045472.59466237807049175
0x6Aa181B9eEb1A2273c280FD403d6F2AA299C12b9,2273429550.735674998429069405
0x4e085834FBBE8215db6E994834CC46016712A99C,2238139462.606048831359548031
0xdE54139d9592128EE73B5F8f72e8d0A8DCAA5191,2223640190.937362456779034103
0x7333Fe4C6E7C0F95BD55CbA1FdC9be41DF3f4571,2216751593.642151983467785345
0x5dA68351bD082aBDA73E42Ac981dB51d9364fe69,2215363986.833612808731551891
0xd3b892a7D7D8ef3e319b458e26341748a77FF0DB,2205351038.905201327988218002
0xba55288CfE0b229a3fA3Ba82Bad06d6eA8365eba,2192511900.682500089281931184
0x70F6B77D6B75A5e64551760E069cB5FbD1A634Bd,2188391366.924655920973969265
0x93EcCaB6c65E856BE7E68003693A264Dd9098aF8,2163596887.248782161759729499
0xD967Aa94430f26e9a24B0D8204F4500155B475b9,2151102166.353965531115928081
0x054Becf10c79aFa4e60F75B187837bE9Fb83867D,2149123906.344566612659901616
0x86AF458B3a817d42Eece5D8afB10455e3Ca202d7,2126463947.229796724458834186
0xD864E5AC7B01720789177fd6D664bA0c42ee2A38,2105637042.479290282270076283
0xAefCE8ad3D967C2505D0e495a13e61d56b39D6AE,2091931051.402326644951829305
0xB1cBB541315eB60Dc5C40dc074A9e77754cB53C3,2083333334
0xa8232EB545Face05cd1Ae6Ec1643887C7b902914,2083333334
0x89abF0B626Ce2c520D661691FC95aadF9179A3eC,2083333334
0x6bf494E92b80044fB8D02f1Ebf3B80C4BB793480,2083333334
0x57c1968265490C8ADbADa88d2741930DB7Bb2289,2083333334
0x55d56F8809e62Fd25a64957815846d1CbB058aa5,2079319969.284912744103467024
0x5ba5E30B05aA61cC6114292C1ABaF9929D591965,2071397945.132554637698833026
0xAB548f756bc06637fCB88AAF5F6b393848bED603,2060531323.980657617326471383
0xf406aed3369614123eB6c8ea6afB12995D49dBdB,2046784925.842833717875312491
0x94C06040793D1aB7EA04Ac28d0eae79378fD3bb7,2040518318.190711331115077306
0xE7132CF69bFcc561514dA2Dd9A5f7aF60f0E5a62,2E+9
0xa558414CF5AE56D82a44161Bc73E9463d0a2b04A,2E+9
0x95f41f6fF09DD400d6f0ca9d69F3B191660363b4,2E+9
0x7548E5CF2503C1Be6883450f9d09785481Dc9AA2,2E+9
0x375832aF86A7f7c60476DbB47cA54Ea8ac913110,2E+9
0x3124a0E29BB77B2bAC9eFF8189c4E3F6882D2efB,2E+9
0x0DE5B7e4d8b2aE5d3819bA653463C7fe76C50c80,2E+9
0x757a68dE56fD46824f6fC6A0d37dd6390d0310c3,1966843695.944424843795471464
0x8122a2C73259A0d4823D2dB9deE1CaCb440Aca8A,1.9260216E+9
0xEEeaD44964A12f6Ac804dfd6099DE8Da861A2b85,1923096116.419879106250979859
0x9942F6825642F99c28b687f0edBAFA65A35049c1,1.923E+9
0x5a648642F3A10cB489A4ce3D1085aCce2C9933Eb,1.923E+9
0x38726205C717565C76A5f614C969e99C75455a45,1883033721.525260027288766992
0xaD5fE762684dF65aeBbFfA9ef1812c32C5760E01,1873112282.491561565740355443
0x1Ca8b46d5f2910EEC8D91b2941e28ebFE15FFab8,1850578976.564767687921776267
0x68ac4E2e496711aEb8CD59e1285C366AD601aE95,1806319554.695467814998576074
