HolderAddress,Balance
0x04Ba52d439c1c23709BBA7a4e920835A6aceE452,19587997368.72358960698073711
0xc09956843E12DE5Eb12C4ACA1F8f6E66AD53192B,19333016643.00485904849397183
0x749Dc7F8aCb2aEF38Dc98806fA14a6B49b91b8d4,19199950262.48138574567437887
0x04B9c7f17D3661fB98DfdB62f291f6f52adA1f0b,18974734718.81438285490846811
0xfaF887b0985Bb1B2EF8aEF1583dfC0ca2239B6E0,18876077842.33443464036197697
0x0a4aB49Cb3a71263BB3881799f50c32Af0Dba651,18868327817.71901537054567095
0x0E95990302151885749BC6e6C2f17e9D534b4285,18822386582.85855619214611132
0x68B48bCa2F5955DF6AF945bB71814EDdA5243712,18770880794.00517703135700758
0xFEA5C78B1C2457515501481B23Bf702f7F6513c8,18756573056.09054308324912683
0x78Ad0A60F4A4F42e9C37E00951e8A65b982F14B4,18510546189.12160025009477745
0xE3E8a61611893A3161487A758d7868D2F25fEB18,18489785747.98323952657916498
0x7122B898D290390AbbA61158c5eD13b1402ee084,18480232285.26780247711528445
0xA2816b2ecAfC3aE6c3F29AFcC2B90f42DeB4fF20,18389736504.63709795464152638
0x78Da1E11A40398e345e822D7Ae1425B0d60F769c,18300410840.68758215898437167
0xA84DBE4602cBAcfe8Cd858Fe910b88ba0e8b8B18,18038519235.72360863791482717
0x457F48a0bBa2D1aB06AD6f9b5F6d8Ee9c457BbA1,17893801923.55818823660899337
0x21a325Ff51740Aa238ACeA2368eFaaB69b34d34b,17738845343.73916909457190260
0xF321eD95Bbd3776a7c7d6592d989Fae98EaE4560,17657253781.82991178628852984
0x255b7833AD17851276bE013Fdfd81e13223D884C,17484690570.79939862991415163
0xf62033Da03AF71a148EB5Dfa34574c7D3e2B03cE,17347123007.74213038952673307
0x7A55D045c24bd4d8AE2063cec9e1d5DE47c74893,17331508611.41951699158874474
0xbDB57eFc966E177Fe7D30B3a0cb99DA274A79291,17219598339.68847450311722554
0xDc0097AD86829C4dC4B0945484BcA46D4A68E798,17177882279.62187898300521539
0x26Ce68b51FCc9ae57F893F0F4097A6FF3aEEbf82,17030662562.48650971517778223
0xe9Ef8342Fffb9167846629d513Dc97388c5fB022,16616519789.59665369316092616
0x8166d661ED2265e901251A4E9A9DC8A7375bA686,16244117773.10817031972128538
0x31E78bB913861cA8Cc944E5D6cA246d077c2fAA0,16172285019.53800792349322797
0x05F4B847ae188662f9f2adA01149599bbcBf3158,16069235546.82335963638681407
0xfBD6803A7a0FE2b8c2a4E3790095B394FdF95b5A,15513825999.71723615535755074
0x747c1D10cCaF606b56aB58eec8b899eE098f65AF,15317393395.17259286592835095
0x209Cc8b7cB42DAA454C832e50D1De3bbd1Eb1769,15276916752.06256208595269497
0xFCCBdF70bA3df135056d05D715ec4C7A8ACDa817,15268617622.59455558765643022
0x149756907221491eca8C5816a6B5d6B60fCd7d60,15167320950.21759760355429828
0x10084a84e8018d53Ef1a766E8924Adf866D942e6,15124606357.96929878900727209
0x94c653B738f102fda25D457E2CbCB48f4A75792E,15070692270.75902045747307357
0x03f7f340e71660ae72f72906f09dba3CeAa5DaEF,15068750245.79638084319376750
0x89785A6D643B825f5dd8506D8a27fA17488657a1,14690687349.43715259415277852
0x4c5c3Bf1D7E22EED545fc9BC7cC7dFDD9e9a82eD,14636570361.90419476020713475
0xF6A1F53026dC95152269aB4fD5De04CbaffDb528,14594785305.09221593313446623
0x04C3a4011D17dfd8650ada24f0A0BAA6C4FE43d5,14525826146.13370643923615515
0x771a539ef123131423Ce91Bd887Ff71E618EE2D9,14459479782.22501657367952644
0x3779fc9ea28f7658cb11ec65D961f5b1183B9C5e,14272662723.27199808551108571
0x123da08fbe5D3f300054710f80b065D5F1CE91E3,14251936155.69279796176269370
0x9FB9C2a6f4407DD29b8a39199237D408E5Bf783A,14166296453.21749434230909991
0x91ab67b76678B538c22ADf351E426eF358d578C0,14032043120.09722195289415445
0xf504b2BcB9125E3d5243460999668d79F38f9647,13916705085.93181894464775833
0x457ccE5766b2a0d62D44149A854966feeD40BB5D,13873299086.62555743776592089
0x5d9575e57a197289417cE0cC8eB49230CE07041d,13782367456.00929927756157179
0xAE545C0d8d4b4645fBA8c895e370529D22F8a71c,13627338364.03033863880700394
0xA4fFA49dA7740d3010Af4f0C5F33b1c0d565ed65,13472531138.57658995740989439
