HolderAddress,Balance
0x91857e7b0d44cc965156d915a275D3Bc3DB9539B,430307379.913747309059899449
0x03Cbe0b040C232794F0fE95C0a2285F1e7cccED1,420369776.389246795402696269
0xCED14Af869FfC67b31663E7b932F00d1FB543B8d,401351458.340659255613413258
0xB11b466eCaE6F45A895d668C3341e560de814bE2,4E+8
0x3306CE556BD4115937e66Cf68Ca4Fcd1EcC0755a,380919481.894540892999063239
0x1210F3eA18Ef463c162FFF9084Cee5B6E5ccAb37,376067328.688800001924530176
0x85e4f22c45543C904fcF2Ed2c13Aaa5FBf1CE56a,374670249
0x7CA59586338fF416769846Be369E1706b18F4f89,369769321.524857877654541391
0xCe33F195bc2Dc1114d11c19ABF9Ae2B48554c8b3,369165477.750687387474456803
0x95FA59e85C431cDA4eE612524e644C9DBFF88900,358633032.165920378781211093
0xEfEe9A62E9742382dF8489543D9c6fD1920D55EF,339973424.001301649298580774
0xfa3A555BC8FB189D14D4E1F3dEb36AC9EFBf1D0f,337837837
0xF38Bf909AE95C67818B6F3E68DD56faC06b8f7E5,337837837
0xEbba215965754314C3Fd4675e0Fa6E91ea4dA579,337837837
0xe0039E44A580506CA887fBE9e5989aA2e3F4897d,337837837
0xD811eE2594b9e21e3Af9533F540E6e783275F21B,337837837
0xBf5c61EF176B4361e501fcD2F6bEc0116430e1BE,337837837
0xb11145eB3c7C101BC2561FD6c3A265d119F45fec,337837837
0xA793daCA43F3517EBf51FB5b76b4739C52A7AD48,337837837
0x9C358Efe2f7F6e5247a7DA1BE9Ce35B2E94E2846,337837837
0x82E6b17b47dc6f96E29392256370C5745ED71ADa,337837837
0x6e7797A53a647aE587AE9871C9D1EdbF84688b97,337837837
0x63561211f46a26cb476C5BA40Ec53c7BF8Dd4489,337837837
0x606bb850d1Eaa7e96d073C667fa26076689eF411,337837837
0x5f0d06F2fbdbefB593Af796E5c69e12c8D5B5aec,337837837
0x5e52f1d7CAF7741a53547b1aC0632e12B53e4aec,337837837
0x48d888d71e420bbA0352198A70Ef25c59c782633,337837837
0x4424394832a32102F6a555789D307F9aCf4Baa8D,337837837
0x39718FD8CA10e9730A25BFc0eFC4781D563e465A,337837837
0x32e125fD975362567F1E9D15822D0aABaF86DB51,337837837
0x3247584156b2838f7096A495e45788cCD4120a05,337837837
0x26C5625E8296d4Ff4cBb186Ac61Ce172792f76E8,337837837
0x136521Ee1b582bd1A196671308A7571CdDC2906d,337837837
0x086d64A659A6f5077529440619Dd111F3CcB82d4,337837837
0xe431119b2248c43f48B09E93E931B90D7Fb2EEd0,336832412
0x7Eb01057b22b94D7551c5ad7c3892e5Da09039c8,336832412
0xA6cc9397d29b631b69782e5F7fB9801224C8FA90,319455827.274333010655379581
0xCf1Dd26aE52bD6c0388a105e42Fe8Ea069725F29,310915436.520083883152376377
0x8DFc2bBF8230b788899Ba0d5062985a69f611e9D,306898575.806111023154992893
0x298Bf72F57539E7c5dA8e8801497b372317E6723,3E+8
0x0535bE3f20DC2Bd4cd772F1454631C3b780497F1,3E+8
0xb2763C0c06FdaB3db6739b8a25d8362f411DDc85,298264808.198956635657255693
0xB4Fc7A71d0660CB69b055A24a82638e8Bf0e0e4a,296375172.877799988266008576
0x1d918BF5fcAbEC0B1d126bF8ff96f7eb8e9d2ccd,290000001.476856158153785876
0x43C9a7e362c6aD43896E962CEC9A3096302B154E,268494500.863570027801338509
0x903175c3Ea356D06dC31bc59D27947429a5A6dd5,262179756.154399179147740338
0xEB86768aF4dAB1680A266e881d9b3F85f6239aaA,251494673.653387489123758877
0xDA1eaa6D6BA271B1FB9e5d014FdBff6326d26aF6,251108174.592303889368743826
0x7Ef2F7af07a2185465875C1Fc099f8A8E38A84cD,249730002.826942554985792452
0xE46b2AC689eAC9B01b6b3eDC8186D497e88F45EF,242225045.191214294379065603
