HolderAddress,Balance
0x076Ed4502762aa6c4809A25651b0a150494F69DC,10054765769.53907640845213945
0x47bFF18E462912Ab61a465b2bc229e3857491AA6,1E+10
0x31996Afc0B4A2Dc72b14f0029A2A75A78e86344B,1E+10
0x439dBec81094Abbac1249C23a0469CD79Fb6eaD4,9765310021.816768864397674923
0x1397D30BB0DcE8030FFEfC78E1E5D71eA62A52Be,9745967017.619949038214833551
0xedb6Cc5aAd830FE34E4AEc759C1f852dCe7a7b1f,9735677822.943770345246733831
0x3014a73f71c17EB1378268CD7DE3b2a4351b009f,9685227596.786273040506090159
0x5f3d6141B371e1D3FDA66171640374211024B6A0,9657281718.063295327306304085
0x6F0D072195AbE5643d66035C6667db0D6CFf6De6,9632458197.878396166963906884
0x83a68A8ccfD76ed11065E1C5ED329a44C103CE41,9576359891.127048040515932104
0x0f856d456720f98E9F0448c752b825893d80C0fC,9532481933.095230422502057689
0xd7362e29d26ff88Da8c9b9B71d264ef5ec478342,9436762435.101619466532856619
0x8Dd92819f59a3F33d6BB7eFD481e500Fa7Da2e9c,9435042964.575841403746783415
0x02460710eD331aaC81b79af98A9668533275934d,9338923332.733796380987016924
0x9dca27C59625a75795a5B59f1088f693fC6E8300,9202592652.484665667005133796
0x528D44C6C00ef7BefC9cb8b1AB6dCf8391e66590,9190688417.591584836689136419
0x80dE0Fc6453D977B76e8665Ba6435e13FB7a6A04,9123525543.827165132630921957
0xda745b9426Cf44bC658F109A45Af023298185647,9082993077.392212848683732575
0x6fB07667e10d2952342569C7D332B368f52a1210,9059082932.800282523669819852
0xEe6c332A7AA94685D0886de8dbc4a8ddD700dBF9,9057425120.425324725796764516
0x0e4E8fc0b29377E116470AD7f9fb7E47ad69E62A,8925139806.142071611423791339
0x184590e8C717A44203626f419a250c3719d30699,8901194065.979436422978737471
0xF87AAFaA01f252d50929c28575f76e3fDd7613C3,8752739941.874106007865431697
0xeFE070BEFE575d32A4706f807B059e369cf4f5E9,8750833881.546601399055842459
0x77D0512949C803Af303A42f8d4E1d2C9fc585F88,8683779394.323416306361489859
0x6CE94c6D4F7FDE613aAa43d8e20F876C6421068B,8536921119.770048893505940616
0x7899A823A6F2e08170B775354f363E3053050B64,8536117661.606393166616231591
0xE2006d87DD91cCf7b3a48BbE74377000A2200d84,8532647205.115844572318596858
0xE03BB64A034beC0f2D95dd10004233D96403dfB0,8517389281.600266427342579725
0x18c6B5f5D0188c7f1260D8153E959b6633CBc48c,8433207135.622435582918162354
0xb0812e0006470fE99F71165fC7C1A2312F7b90F2,8423892356.604631652406715262
0x7F56cf116a9117ea2d1557FD23651639328A0E31,8295222064.345604750157824493
0x5fF0608fA24b96007dE78deBb278F5B5667BC115,8245355088.548210296643070092
0x4AA92b19b50b1b27daA72a6F9F463F582babAD82,8242619073.331954380969187645
0x9Efa8980e2EE47859e57C26925A569aa1f99e283,8186745076.877293473311606121
0x3e38185CB72A12E91a1B8dB8eAeaB2fc928231bB,8178474137.210501040271141262
0x87686a73bb10BE73FF4584501c3a9709Ec7e69bA,8154860132.316290943158955476
0xdd3c0f408Cad52Ca1224cb52b97DaEa58b443fc1,8039208596.627919695687914821
0x7223E5166b0E604A68BaD6D8207b46a82ee7F85A,8038555688.280847241064305393
0xc93539968335A597879c604af995E05d1b12f9FA,8008303405.68365432026243578
0x3dcCE5ce106C4cf8483c5dC66577BaB5A54a6210,8E+9
0x3515A3E9290329C82360C5181c5e6cE7cF26e624,7944412380.863535095413512236
0xFD71F5bEd847c264a4150711F436390E0A18e0D4,7917798598.676792419328945241
0x81fd881490D27663Bf39366BC0e12F2002b204ee,7896285386.30770626852583913
0x7C439177cd714324Ed0dD63F7d648D4020DC98AD,7833012098.758758754070702567
0x9298D291E5B89fC8d9BC2455eF2B650739DbFF58,7803174805.508021983254534508
0x5c94fde2e416ac1629aD4aFa29CC11ebA17cc74a,7786771040.79263057043275759
0xD7A18E7553705CDd8CEED68ea34aD4Dcb8297083,7691021584.315748717565632114
0xB434e8107Cba515e2e140F6efAEABbbdf6143742,7678664129
0x474b02bEdB8a12C3c3E41E605648D8EF4a39196c,7523731040.513335676064306643
